Disease,Description
Drug Reaction,"Reaksi obat yang merugikan (adverse drug reaction/ADR) adalah cedera yang disebabkan oleh penggunaan obat. ADR dapat terjadi setelah pemberian dosis tunggal atau pemberian obat dalam jangka waktu lama, atau akibat kombinasi dua atau lebih obat."
Malaria,Malaria falciparum adalah penyakit menular yang disebabkan oleh parasit protozoa dari famili Plasmodium yang dapat ditularkan melalui gigitan nyamuk Anopheles atau melalui jarum suntik atau transfusi yang terkontaminasi. Malaria falciparum adalah jenis yang paling mematikan.
Allergy,"Alergi adalah respons sistem kekebalan tubuh terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda. Alergi dapat berupa makanan tertentu, serbuk sari, atau bulu hewan peliharaan. Tugas sistem kekebalan tubuh Anda adalah menjaga kesehatan Anda dengan melawan patogen berbahaya."
Hypothyroidism,"Hipotiroidisme, juga disebut tiroid kurang aktif atau tiroid rendah, adalah gangguan pada sistem endokrin di mana kelenjar tiroid tidak menghasilkan hormon tiroid yang cukup."
Psoriasis,"Psoriasis adalah gangguan kulit umum yang membentuk bercak tebal, merah, dan bergelombang yang ditutupi sisik keperakan. Bercak ini dapat muncul di mana saja, tetapi paling sering muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat menular dari orang ke orang. Namun, terkadang dapat terjadi pada anggota keluarga yang sama."
GERD,"Penyakit refluks gastroesofageal, atau GERD, adalah gangguan pencernaan yang memengaruhi sfingter esofagus bagian bawah (LES), yaitu cincin otot di antara kerongkongan dan lambung. Banyak orang, termasuk wanita hamil, menderita mulas atau gangguan pencernaan asam yang disebabkan oleh GERD."
Chronic cholestasis,"Penyakit kolestatik kronis, baik yang terjadi pada masa bayi, anak-anak, atau dewasa, ditandai dengan gangguan transportasi asam empedu dari hati ke usus, yang dalam kebanyakan kasus disebabkan oleh kerusakan primer pada epitel bilier."
hepatitis A,Hepatitis A adalah infeksi hati yang sangat menular yang disebabkan oleh virus hepatitis A. Virus ini adalah salah satu dari beberapa jenis virus hepatitis yang menyebabkan peradangan dan memengaruhi kemampuan hati untuk berfungsi.
Osteoarthristis,"Osteoartritis adalah bentuk artritis yang paling umum, menyerang jutaan orang di seluruh dunia. Kondisi ini terjadi ketika tulang rawan pelindung yang melindungi ujung tulang menipis seiring waktu."
(vertigo) Paroymsal  Positional Vertigo,Vertigo posisi paroksismal jinak (BPPV) adalah salah satu penyebab vertigo yang paling umum sensasi tiba-tiba bahwa Anda berputar atau bagian dalam kepala Anda berputar. Vertigo posisi paroksismal jinak menyebabkan episode singkat pusing ringan hingga intens.
Hypoglycemia,"Hipoglikemia adalah kondisi di mana kadar gula darah (glukosa) Anda lebih rendah dari normal. Glukosa adalah sumber energi utama tubuh Anda. Hipoglikemia sering berkaitan dengan pengobatan diabetes. Namun, obat-obatan lain dan berbagai kondisi, banyak yang jarang terjadi, dapat menyebabkan gula darah rendah pada orang yang tidak menderita diabetes."
Acne,"Acne vulgaris adalah pembentukan komedo, papula, pustula, nodul, dan/atau kista sebagai akibat dari penyumbatan dan peradangan unit pilosebasea (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan bagian atas tubuh. Paling sering menyerang remaja."
Diabetes,"Diabetes adalah penyakit yang terjadi ketika kadar glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang diproduksi oleh pankreas, membantu glukosa dari makanan masuk ke dalam sel Anda untuk digunakan sebagai energi."
Impetigo,"Impetigo (im-puh-TIE-go) adalah infeksi kulit yang umum dan sangat menular yang terutama menyerang bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah di wajah, terutama di sekitar hidung dan mulut anak, serta di tangan dan kaki. Luka tersebut pecah dan membentuk kerak berwarna madu."
Hypertension,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus-menerus meningkat. Tekanan darah tinggi biasanya tidak menimbulkan gejala."
Peptic ulcer diseae,"Penyakit tukak lambung (Peptic ulcer/PUD) adalah luka pada lapisan dalam lambung, bagian pertama usus halus, atau terkadang bagian bawah kerongkongan. Tukak di lambung disebut tukak lambung (gastric ulcer), sedangkan tukak di bagian pertama usus disebut tukak duodenum (duodenal ulcer)."
Dimorphic hemorrhoids(piles),"Hemoroid juga dieja haemorrhoids, adalah struktur pembuluh darah di saluran anus. Dalam nama lain, Hemoroid, wasir, penyakit hemoroid."
Common Cold,"Pilek adalah infeksi virus pada hidung dan tenggorokan (saluran pernapasan bagian atas). Biasanya tidak berbahaya, meskipun mungkin terasa tidak demikian. Banyak jenis virus yang dapat menyebabkan pilek."
Chicken pox,"Cacar air adalah penyakit yang sangat menular yang disebabkan oleh virus varicella-zoster (VZV). Penyakit ini dapat menyebabkan ruam gatal seperti lepuh. Ruam pertama kali muncul di dada, punggung, dan wajah, kemudian menyebar ke seluruh tubuh, menyebabkan antara 250 hingga 500 lepuh yang gatal."
Cervical spondylosis,"Spondilosis servikal adalah istilah umum untuk keausan akibat penuaan yang memengaruhi cakram tulang belakang di leher Anda. Saat cakram mengalami dehidrasi dan menyusut, tanda-tanda osteoartritis berkembang, termasuk tonjolan tulang di sepanjang tepi tulang (taji tulang)."
Hyperthyroidism,"Hipertiroidisme (tiroid yang terlalu aktif) terjadi ketika kelenjar tiroid Anda memproduksi terlalu banyak hormon tiroksin. Hipertiroidisme dapat mempercepat metabolisme tubuh Anda, menyebabkan penurunan berat badan yang tidak disengaja dan detak jantung yang cepat atau tidak teratur."
Urinary tract infection,"Infeksi saluran kemih: Infeksi pada ginjal, ureter, kandung kemih, atau uretra. Disingkat ISK. Tidak semua orang dengan ISK memiliki gejala, tetapi gejala umum meliputi sering buang air kecil dan nyeri atau rasa terbakar saat buang air kecil."
Varicose veins,"Pembuluh darah yang membesar dan berbelit-belit, seringkali tampak sebagai pembuluh darah biru yang menonjol dan terlihat jelas melalui kulit. Varises paling umum terjadi pada orang dewasa yang lebih tua, terutama wanita, dan terutama terjadi di kaki."
AIDS,"Sindrom imunodefisiensi yang didapat (AIDS) adalah kondisi kronis yang berpotensi mengancam jiwa yang disebabkan oleh virus imunodefisiensi manusia (HIV). Dengan merusak sistem kekebalan tubuh Anda, HIV mengganggu kemampuan tubuh Anda untuk melawan infeksi dan penyakit."
Paralysis (brain hemorrhage),"Perdarahan intraserebral (ICH) terjadi ketika darah tiba-tiba masuk ke jaringan otak, menyebabkan kerusakan pada otak. Gejala biasanya muncul tiba-tiba selama ICH. Gejala tersebut meliputi sakit kepala, lemas, kebingungan, dan kelumpuhan, terutama pada satu sisi tubuh."
Typhoid,"Suatu penyakit akut yang ditandai dengan demam yang disebabkan oleh infeksi bakteri Salmonella typhi. Demam tifoid memiliki awalan yang tidak kentara, dengan gejala demam, sakit kepala, sembelit, rasa tidak enak badan, menggigil, dan nyeri otot. Diare jarang terjadi, dan muntah biasanya tidak parah."
